FoodNumber,FoodName,CO2e,CO2eRef
24,"OATS, ROLLED, PLAIN, DRY WEIGHT, NOT QUAKER, READY BREK/ INSTANT OATS", 42.5,"Average of the two sources in Clune et al 2017"
25,"PASTA, CANELLONI, DRIED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
26,"PASTA LASAGNA DRIED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
27,"PASTA MACARONI BOILED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
28,"PASTA MACARONI, RAW",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
29,"PASTA NOODLES DRIED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
30,"PASTA NOODLES BOILED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
31,"PASTA NOODLES EGG DRIED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
32,"PASTA NOODLES EGG BOILED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
33,"PASTA SPAGHETTI DRIED WHITE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
34,"PASTA SPAGHETTI BOILED WHITE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
35,"PASTA SPAGHETTI WHOLEMEAL DRY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
36,"PASTA SPAGHETTI WHOLEMEAL BOILED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
37,"PASTA VERMICELLI, DRIED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
38,"PASTA MACARONI CANNED IN CHEESE SAUCE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
39,"PASTA RAVIOLI CANNED IN TOMATO SAUCE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
40,"PASTA SPAGHETTI CANNED IN BOLOGNESE SAUCE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
41,"PASTA,SPAGHETTI, CANNED IN TOMATO SAUCE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
42,"WHITE RICE BASMATI BOILED",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
43,"WHITE BASMATI RICE DRY",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
44,"RICE BASMATI FRIED IN BLEND OIL",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
45,"RICE BASMATI FRIED IN DRIPPING",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
46,"RICE BASMATI FRIED IN LARD",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
47,"RICE BASMATI FRIED IN PUFA OIL",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
48,"RICE BROWN DRIED",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
49,"RICE, BROWN, BOILED",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
50,"RICE BROWN FRIED IN BLENDED OIL",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
51,"RICE BROWN FRIED IN DRIPPING",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
52,"RICE BROWN FRIED IN LARD",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
53,"RICE BROWN FRIED IN PUFA OIL",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
54,"RICE WHITE EASY COOK DRIED",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
55,"WHITE RICE EASY COOK BOILED",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
56,"RICE FLAKES DRIED",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
57,"RICE WHITE LONG GRAIN POLISHED DRIED",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
58,"RICE WHITE LONG POLISHED BOILED",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
59,"RICE WHITE FRIED BLENDED OIL",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
60,"RICE WHITE WITH PUFA OIL",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
61,"WHITE RICE FRIED IN DRIPPING",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
62,"RICE WHITE FRIED IN LARD",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
63,"RICE WHITE BOILED IN MILK", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
64,"RICE WHITE MILK AND SUGAR", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
65,"RICE WHITE IN SEMI SKIMMED MILK", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
66,"WHITE RICE SEMI SKIMMED MILK AND SUGAR", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
67,"RICE WHITE BOILED IN SKIMMED MILK", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
68,"RICE WHITE SKIMMED MILK AND SUGAR", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
69,"SAVOURY RICE DRY",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
70,"RICE SAVOURY (RECONSTITUTED)",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
71,"SAGO DRIED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
72,"SEMOLINA DRY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
73,"TAPIOCA DRY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
74,"DUMPLINGS MADE WITH ANIMAL SUET",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
75,"RICE MILK SUGAR AND BUTTER", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
76,"EGG FRIED RICE INCLUDING TAKEAWAY",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
77,"MILLET DRY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
101,"ALL-BRAN LOAF", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
102,"BROWN BREAD NO ADDED BRAN",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
103,"BROWN BREAD FRIED BLEND OIL",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
104,"BROWN BREAD FRIED IN PUFA OIL",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
105,"BROWN BREAD FRIED IN DRIPPING",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
106,"BROWN BREAD FRIED IN LARD",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
107,"BROWN BREAD TOASTED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
108,"FRUIT LOAF, PURCHASED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
109,"FRUIT LOAF PURCHASED, TOASTED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
110,"WHEATGERM BREAD EG HOVIS WHEATGERM BREAD",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
111,"WHEATGERM BREAD, TOASTED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
112,"BREAD GRANARY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
113,"GRANARY BREAD, TOASTED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
114,"BREAD RYE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
115,"RYE BREAD, TOASTED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
116,"BREAD PITTA WHITE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
117,"BREAD PITTA WHOLEMEAL",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
118,"BREAD VIT-BE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
119,"VITBE BREAD TOASTED NOT VITBE HI BRAN",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
120,"BREAD, WHITE SLICED, NOT FORTIFIED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
121,"BREAD WHITE CRUSTY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
122,"BREAD WHITE ANY FRIED IN BLENDED VEG OIL",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
123,"BREAD WHITE FRIED IN PUFA OIL",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
124,"BREAD WHITE FRIED IN DRIPPING",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
125,"BREAD WHITE FRIED IN LARD",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
126,"BREAD WHITE TOASTED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
127,"BREAD WHITE FRENCH STICK",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
128,"MILK BREAD WHITE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
129,"BREAD WHITE SLIMMERS",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
130,"BREAD WHITE SCOTTISH BATCH LOAF",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
131,"BREAD WHITE SODA",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
132,"BREAD WHITE VIENNA",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
133,"BREAD WHOLEMEAL",  139,"From Espinoza-Orias, N., H. Stichnothe and A. Azapagic (2011). The carbon footprint of bread. - The International Journal of Life Cycle Assessment 16(4): 351-365. < The carbon footprint results range from 977 to 1,244 g CO2 eq. per loaf of bread. > per <one loaf of sliced bread (800 g) consumed at home >"
134,"WHOLEMEAL BREAD FRIED BLENDED OIL",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
135,"WHOLEMEAL BREAD FRIED PUFA OIL",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
136,"WHOLEMEAL BREAD FRIED IN DRIPPING",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
137,"BREAD WHOLEMEAL FRIED IN LARD",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
138,"BREAD WHOLEMEAL TOASTED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
139,"BREADCUMBS WHITE HOMEMADE DRIED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
140,"BREADCRUMBS SHOP-BOUGHT DRIED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
141,"CHAPATIS BROWN IN BUTTER GHEE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
142,"CHAPATIS BROWN IN VEG GHEE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
143,"CHAPATI BROWN NO FAT",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
144,"CHAPATIS WHITE IN BUTTER GHEE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
145,"CHAPATIS WHITE IN VEGETABLE GHEE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
146,"CHAPATI WHITE MADE WITHOUT FAT",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
147,"CRUMPETS PIKELETS",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
148,"CRUMPETS PIKELETS TOASTED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
149,"MALT LOAF FRUIT PURCHASED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
150,"MALT LOAF, TOASTED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
151,"MUFFINS PLAIN ENGLISH NOT WHOLEMEAL",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
152,"MUFFINS WHITE TOASTED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
153,"PAPADUMS/POPPADOMS GRILLED OR BAKED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
154,"PAPADUMS/POPPADOMS FRIED IN BUTTER GHEE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
155,"PAPADUMS/POPPADOMS FRIED IN VEG. GHEE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
157,"ROLLS HAMBURGER BUNS",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
158,"ROLLS WHITE CRUSTY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
159,"ROLLS, WHITE SOFT, NOT FORTIFIED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
160,"ROLLS WHITE STARCH REDUCED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
161,"ROLLS, WHOLEMEAL, NOT FORTIFIED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
162,"BREAD VITBE FRIED BLENDED OIL",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
163,"BREAD VITBE FRIED DRIPPING",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
164,"BREAD VITBE FRIED IN LARD",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
165,"VITBE HOVIS FRIED IN PUFA OIL",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
166,"CROISSANTS PLAIN NOT FILLED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
167,"WHOLE MEAL MALT LOAF", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
168,"WHOLEMEAL MALT LOAF TOASTED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
169,"ROLL GRANARY BROWN WHEATGERM TOASTED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
170,"HAMBURGER ROLLS TOASTED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
171,"ROLLS WHITE TOASTED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
172,"ROLLS WHOLEMEAL TOASTED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
173,"MUFFINS ENGLISH WHOLEMEAL OR BRAN",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
174,"WHOLEMEAL MUFFINS TOASTED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
201,"ALL BRAN KELLOGGS ONLY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
202,"BRANFLAKES KELLOGGS ONLY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
203,"SULTANA BRAN KELLOGGS ONLY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
204,"COCO POPS KELLOGGS ONLY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
205,"CORNFLAKES KELLOGG'S ONLY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
206,"CORNFLAKES OWN BRAND NOT KELLOGG'S",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
210,"GRAPENUTS",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
212,"MUESLI E.G. ALPEN WITH ADDED SUGAR NOT KELLOGGS COUNTRY STORE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
213,"CRUNCHY CLUSTERS TYPE CEREAL WITHOUT NUTS",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
214,"MUESLI, NO ADDED SUGAR",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
215,"PORRIDGE MADE WITH WATER AND ADDED SALT",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
216,"PORRIDGE MADE WITH WHOLE MILK AND ADDED SALT",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
217,"PORRIDGE MADE WITH WHOLE MILK & WATER AND ADDED SALT",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
218,"PUFFED WHEAT, NOT HONEY COATED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
219,"READY BREK AS SERVED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
220,"RICE KRISPIES KELLOGGS ONLY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
221,"SHREDDED WHEAT, INCLUDES NESTLE AND OWN BRAND, NO ADDITIONS",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
223,"SPECIAL K KELLOGG'S",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
224,"HONEY COATED PUFFED WHEAT INCLUDING QUAKER SUGAR PUFFS AND OWN BRAND",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
225,"WEETABIX AND OTHER WHOLEWHEAT BISKS FORTIFIED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
227,"FROSTIES-KELLOGGS ONLY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
228,"MULTIGRAIN START KELLOGGS",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
229,"FRUIT AND FIBRE KELLOGGS ONLY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
251,"BISCUITS CHEESE FLAVOURED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
252,"CHEESE SANDWICH BISCUITS", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
253,"FULLY COATED CHOCOLATE BISCUITS WITH BISCUIT FILLING", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
254,"CHOCOLATE SHORT OR SWEET BISCUITS HALF COATED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
255,"CREAM CRACKERS", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
256,"CRISPBREAD RYE", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
257,"CRISPBREADS STARCH REDUCED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
258,"CRISPBREADS EXTRA LIGHT", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
259,"DIGESTIVE PLAIN", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
260,"DIGESTIVES HALF COATED IN CHOCOLATE", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
261,"FLAPJACKS PURCHASED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
262,"FRUIT BISCUITS NOT WHOLEMEAL", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
263,"GINGERNUTS", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
264,"HOMEMADE BISCUITS - CREAMING METHOD", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
265,"JAM FILLED BISCUITS EG JAMMIE DODGERS", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
266,"MATZOS", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
267,"OATCAKES", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
268,"CREAM SANDWICH BISCUITS", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
269,"SEMI-SWEET BISCUIT", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
270,"SHORT SWEET BISCUITS", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
271,"SHORTBREAD HOMEMADE NOT WHOLEMEAL", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
272,"BISCUITS WAFER SANDWICH CREAM FILLED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
273,"WAFER-PLAIN ICE-CREAM WAFER NOT FILLED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
274,"WATER BISCUIT", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
275,"TWIGLETS", 19.8,"Average of CO2e values for Potatoes  from From Clune et al 2017, multiplied by1"
276,"WHOLEMEAL BISCUIT PLAIN OR FLAVOURED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
279,"SALTINES EG TUC RITZ", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
280,"SNOWBALLS", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
281,"FRUIT AND NUT BISCUITS", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
301,"BAKEWELL TART; FRANGIPANE TART; HOMEMADE", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
302,"BANANA CAKE, HOMEMADE", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
303,"CHELSEA BUNS NOT WHOLEMEAL", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
304,"BATTENBURG, PURCHASED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
305,"CARAMEL SHORTCAKE HOMEMADE", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
306,"CHINESE CAKES AND PASTRIES", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
307,"CHINESE GLUTINOUS RICE FLOUR CAKES", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
308,"SPONGE CAKE CHOCOLATE WITH MARGARINE NOT PUFA, BUTTER ICING, HOMEMADE", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
309,"CHOCOLATE CUP CAKES HOMEMADE", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
310,"CHOCOLATE CRISPIE CAKES (CORNFLAKES & RICE KRISPIES) PURCHASED OR HOMEMADE", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
311,"COCONUT TART", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
313,"FRESH CREAM HORN / CREAM SLICE", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
314,"CREAM HORNS WITH ARTIFICIAL CREAM", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
315,"CURRANT BUNS HOMEMADE NOT WHOLEMEAL", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
316,"CUSTARD TART INDIVIDUAL", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
317,"CUSTARD TART LARGE HOMEMADE", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
318,"DANISH PASTRIES", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
320,"DATE AND WALNUT LOAF", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
323,"DOUGHNUT RING, NOT ICED OR GLAZED, PURCHASED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
324,"DOUGHNUTS JAM FILLED, WITH OR WITHOUT GLAZE, PURCHASED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
325,"DOUGHNUTS FRESH CREAM FILLED", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
326,"ECCLES CAKES", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
327,"ECLAIRS AND PROFITEROLES, CHOCOLATE ICING, FRESH CREAM FILLING, PURCHASED, FRESH OR FROZEN", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
328,"CHOCOLATE ECLAIR WITH ARTIFICIAL CREAM", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
329,"FANCY ICED CAKES", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
330,"FLORENTINES", 51.2,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1"
